,Exploitation,Exposure,MissionImpact,SafetyImpact,Outcome,Utility,TechnicalImpact
0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,2
2,1,1,1,1,1,2,1
3,1,1,2,1,1,1,1
4,1,1,2,1,1,1,2
5,1,1,2,1,1,2,1
6,1,1,3,1,1,1,1
7,1,1,3,1,1,1,2
8,1,1,3,1,1,2,1
9,1,2,1,1,1,1,1
10,1,2,1,1,1,1,2
11,1,2,1,1,1,2,1
12,1,2,2,1,1,1,1
13,1,2,2,1,1,1,2
14,1,2,2,1,1,2,1
15,1,2,3,1,1,1,1
16,1,2,3,1,1,1,2
17,1,2,3,1,1,2,1
18,1,3,1,1,1,1,1
19,1,3,1,1,1,1,2
20,1,3,1,1,1,2,1
21,1,3,2,1,1,1,1
22,1,3,2,1,1,1,2
23,1,3,2,1,1,2,1
24,1,1,4,1,2,2,2
25,1,1,4,1,2,3,1
26,1,1,4,1,2,3,2
27,1,1,5,1,2,2,2
28,1,1,5,1,2,3,1
29,1,1,5,1,2,3,2
30,1,2,4,1,2,2,2
31,1,2,4,1,2,3,1
32,1,2,4,1,2,3,2
33,1,3,3,1,2,2,2
34,1,3,3,1,2,3,1
35,1,3,3,1,2,3,2
36,1,3,4,1,2,2,2
37,1,3,4,1,2,3,1
38,1,3,4,1,2,3,2
39,1,1,1,2,1,1,1
40,1,1,1,2,1,1,2
41,1,1,2,2,1,1,1
42,1,1,2,2,1,1,2
43,1,2,1,2,1,1,1
44,1,2,1,2,1,1,2
45,1,2,2,2,1,1,1
46,1,2,2,2,1,1,2
47,1,1,3,2,2,2,1
48,1,1,3,2,2,2,2
49,1,1,3,2,2,3,1
50,1,1,3,2,2,3,2
51,1,1,4,2,2,2,1
52,1,1,4,2,2,2,2
53,1,1,4,2,2,3,1
54,1,1,4,2,2,3,2
55,1,1,5,2,2,2,1
56,1,1,5,2,2,2,2
57,1,1,5,2,2,3,1
58,1,1,5,2,2,3,2
59,1,2,3,2,2,2,1
60,1,2,3,2,2,2,2
61,1,2,3,2,2,3,1
62,1,2,3,2,2,3,2
63,1,2,4,2,2,2,1
64,1,2,4,2,2,2,2
65,1,2,4,2,2,3,1
66,1,2,4,2,2,3,2
67,1,3,1,2,2,2,1
68,1,3,1,2,2,2,2
69,1,3,1,2,2,3,1
70,1,3,1,2,2,3,2
71,1,3,2,2,2,2,1
72,1,3,2,2,2,2,2
73,1,3,2,2,2,3,1
74,1,3,2,2,2,3,2
75,1,3,3,2,2,2,1
76,1,3,3,2,2,2,2
77,1,3,3,2,2,3,1
78,1,3,3,2,2,3,2
79,1,3,4,2,2,2,1
80,1,3,4,2,2,2,2
81,1,3,4,2,2,3,1
82,1,3,4,2,2,3,2
83,1,1,2,3,2,1,1
84,1,1,2,3,2,1,2
85,1,1,2,3,2,2,1
86,1,1,2,3,2,2,2
87,1,1,2,3,2,3,1
88,1,1,2,3,2,3,2
89,1,1,3,3,2,1,1
90,1,1,3,3,2,1,2
91,1,1,3,3,2,2,1
92,1,1,3,3,2,2,2
93,1,1,3,3,2,3,1
94,1,1,3,3,2,3,2
95,1,1,4,3,2,1,1
96,1,1,4,3,2,1,2
97,1,1,4,3,2,2,1
98,1,1,4,3,2,2,2
99,1,1,4,3,2,3,1
100,1,1,4,3,2,3,2
101,1,1,5,3,2,1,1
102,1,1,5,3,2,1,2
103,1,1,5,3,2,2,1
104,1,1,5,3,2,2,2
105,1,1,5,3,2,3,1
106,1,1,5,3,2,3,2
107,1,2,1,3,2,1,1
108,1,2,1,3,2,1,2
109,1,2,1,3,2,2,1
110,1,2,1,3,2,2,2
111,1,2,1,3,2,3,1
112,1,2,1,3,2,3,2
113,1,2,2,3,2,1,1
114,1,2,2,3,2,1,2
115,1,2,2,3,2,2,1
116,1,2,2,3,2,2,2
117,1,2,2,3,2,3,1
118,1,2,2,3,2,3,2
119,1,2,3,3,2,1,1
