,Exploitation,Exposure,MissionImpact,SafetyImpact,Outcome,Utility,TechnicalImpact
0,active,small,none,catastrophic,immediate,laborious,partial
1,active,small,none,catastrophic,immediate,laborious,total
2,active,small,none,catastrophic,immediate,efficient,partial
3,active,small,none,catastrophic,immediate,efficient,total
4,active,small,none,catastrophic,immediate,super effective,partial
5,active,small,none,catastrophic,immediate,super effective,total
6,active,small,degraded,catastrophic,immediate,laborious,partial
7,active,small,degraded,catastrophic,immediate,laborious,total
8,active,small,degraded,catastrophic,immediate,efficient,partial
9,active,small,degraded,catastrophic,immediate,efficient,total
10,active,small,degraded,catastrophic,immediate,super effective,partial
11,active,small,degraded,catastrophic,immediate,super effective,total
12,active,small,MEF crippled,catastrophic,immediate,laborious,partial
13,active,small,MEF crippled,catastrophic,immediate,laborious,total
14,active,small,MEF crippled,catastrophic,immediate,efficient,partial
15,active,small,MEF crippled,catastrophic,immediate,efficient,total
16,active,small,MEF crippled,catastrophic,immediate,super effective,partial
17,active,small,MEF crippled,catastrophic,immediate,super effective,total
18,active,small,MEF fail,catastrophic,immediate,laborious,partial
19,active,small,MEF fail,catastrophic,immediate,laborious,total
20,active,small,MEF fail,catastrophic,immediate,efficient,partial
21,active,small,MEF fail,catastrophic,immediate,efficient,total
22,active,small,MEF fail,catastrophic,immediate,super effective,partial
23,active,small,MEF fail,catastrophic,immediate,super effective,total
24,active,small,mission fail,catastrophic,immediate,laborious,partial
25,active,small,mission fail,catastrophic,immediate,laborious,total
26,active,small,mission fail,catastrophic,immediate,efficient,partial
27,active,small,mission fail,catastrophic,immediate,efficient,total
28,active,small,mission fail,catastrophic,immediate,super effective,partial
29,active,small,mission fail,catastrophic,immediate,super effective,total
30,active,controlled,none,catastrophic,immediate,laborious,partial
31,active,controlled,none,catastrophic,immediate,laborious,total
32,active,controlled,none,catastrophic,immediate,efficient,partial
33,active,controlled,none,catastrophic,immediate,efficient,total
34,active,controlled,none,catastrophic,immediate,super effective,partial
35,active,controlled,none,catastrophic,immediate,super effective,total
36,active,controlled,degraded,catastrophic,immediate,laborious,partial
37,active,controlled,degraded,catastrophic,immediate,laborious,total
38,active,controlled,degraded,catastrophic,immediate,efficient,partial
39,active,controlled,degraded,catastrophic,immediate,efficient,total
40,active,controlled,degraded,catastrophic,immediate,super effective,partial
41,active,controlled,degraded,catastrophic,immediate,super effective,total
42,active,controlled,MEF crippled,catastrophic,immediate,laborious,partial
43,active,controlled,MEF crippled,catastrophic,immediate,laborious,total
44,active,controlled,MEF crippled,catastrophic,immediate,efficient,partial
45,active,controlled,MEF crippled,catastrophic,immediate,efficient,total
46,active,controlled,MEF crippled,catastrophic,immediate,super effective,partial
47,active,controlled,MEF crippled,catastrophic,immediate,super effective,total
48,active,controlled,MEF fail,catastrophic,immediate,laborious,partial
49,active,controlled,MEF fail,catastrophic,immediate,laborious,total
50,active,controlled,MEF fail,catastrophic,immediate,efficient,partial
51,active,controlled,MEF fail,catastrophic,immediate,efficient,total
52,active,controlled,MEF fail,catastrophic,immediate,super effective,partial
53,active,controlled,MEF fail,catastrophic,immediate,super effective,total
54,active,controlled,mission fail,catastrophic,immediate,laborious,partial
55,active,controlled,mission fail,catastrophic,immediate,laborious,total
56,active,controlled,mission fail,catastrophic,immediate,efficient,partial
57,active,controlled,mission fail,catastrophic,immediate,efficient,total
58,active,controlled,mission fail,catastrophic,immediate,super effective,partial
59,active,controlled,mission fail,catastrophic,immediate,super effective,total
60,active,unavoidable,none,catastrophic,immediate,laborious,partial
61,active,unavoidable,none,catastrophic,immediate,laborious,total
62,active,unavoidable,none,catastrophic,immediate,efficient,partial
63,active,unavoidable,none,catastrophic,immediate,efficient,total
64,active,unavoidable,none,catastrophic,immediate,super effective,partial
65,active,unavoidable,none,catastrophic,immediate,super effective,total
66,active,unavoidable,degraded,catastrophic,immediate,laborious,partial
67,active,unavoidable,degraded,catastrophic,immediate,laborious,total
68,active,unavoidable,degraded,catastrophic,immediate,efficient,partial
69,active,unavoidable,degraded,catastrophic,immediate,efficient,total
70,active,unavoidable,degraded,catastrophic,immediate,super effective,partial
71,active,unavoidable,degraded,catastrophic,immediate,super effective,total
72,active,unavoidable,MEF crippled,catastrophic,immediate,laborious,partial
73,active,unavoidable,MEF crippled,catastrophic,immediate,laborious,total
74,active,unavoidable,MEF crippled,catastrophic,immediate,efficient,partial
75,active,unavoidable,MEF crippled,catastrophic,immediate,efficient,total
76,active,unavoidable,MEF crippled,catastrophic,immediate,super effective,partial
77,active,unavoidable,MEF crippled,catastrophic,immediate,super effective,total
78,active,unavoidable,MEF fail,catastrophic,immediate,laborious,partial
79,active,unavoidable,MEF fail,catastrophic,immediate,laborious,total
80,active,unavoidable,MEF fail,catastrophic,immediate,efficient,partial
81,active,unavoidable,MEF fail,catastrophic,immediate,efficient,total
82,active,unavoidable,MEF fail,catastrophic,immediate,super effective,partial
83,active,unavoidable,MEF fail,catastrophic,immediate,super effective,total
84,active,unavoidable,mission fail,catastrophic,immediate,laborious,partial
85,active,unavoidable,mission fail,catastrophic,immediate,laborious,total
86,active,unavoidable,mission fail,catastrophic,immediate,efficient,partial
87,active,unavoidable,mission fail,catastrophic,immediate,efficient,total
88,active,unavoidable,mission fail,catastrophic,immediate,super effective,partial
89,active,unavoidable,mission fail,catastrophic,immediate,super effective,total
90,active,small,mission fail,hazardous,immediate,laborious,partial
91,active,small,mission fail,hazardous,immediate,laborious,total
92,active,small,mission fail,hazardous,immediate,efficient,partial
93,active,small,mission fail,hazardous,immediate,efficient,total
94,active,small,mission fail,hazardous,immediate,super effective,partial
95,active,small,mission fail,hazardous,immediate,super effective,total
96,active,controlled,MEF fail,hazardous,immediate,laborious,partial
97,active,controlled,MEF fail,hazardous,immediate,laborious,total
98,active,controlled,MEF fail,hazardous,immediate,efficient,partial
99,active,controlled,MEF fail,hazardous,immediate,efficient,total
100,active,controlled,MEF fail,hazardous,immediate,super effective,partial
101,active,controlled,MEF fail,hazardous,immediate,super effective,total
102,active,controlled,mission fail,hazardous,immediate,laborious,partial
103,active,controlled,mission fail,hazardous,immediate,laborious,total
104,active,controlled,mission fail,hazardous,immediate,efficient,partial
105,active,controlled,mission fail,hazardous,immediate,efficient,total
106,active,controlled,mission fail,hazardous,immediate,super effective,partial
107,active,controlled,mission fail,hazardous,immediate,super effective,total
108,active,unavoidable,none,hazardous,immediate,laborious,partial
109,active,unavoidable,none,hazardous,immediate,laborious,total
110,active,unavoidable,none,hazardous,immediate,efficient,partial
111,active,unavoidable,none,hazardous,immediate,efficient,total
112,active,unavoidable,none,hazardous,immediate,super effective,partial
113,active,unavoidable,none,hazardous,immediate,super effective,total
114,active,unavoidable,degraded,hazardous,immediate,laborious,partial
115,active,unavoidable,degraded,hazardous,immediate,laborious,total
116,active,unavoidable,degraded,hazardous,immediate,efficient,partial
117,active,unavoidable,degraded,hazardous,immediate,efficient,total
118,active,unavoidable,degraded,hazardous,immediate,super effective,partial
119,active,unavoidable,degraded,hazardous,immediate,super effective,total
120,active,unavoidable,MEF crippled,hazardous,immediate,laborious,partial
121,active,unavoidable,MEF crippled,hazardous,immediate,laborious,total
122,active,unavoidable,MEF crippled,hazardous,immediate,efficient,partial
123,active,unavoidable,MEF crippled,hazardous,immediate,efficient,total
124,active,unavoidable,MEF crippled,hazardous,immediate,super effective,partial
125,active,unavoidable,MEF crippled,hazardous,immediate,super effective,total
126,active,unavoidable,MEF fail,hazardous,immediate,laborious,partial
127,active,unavoidable,MEF fail,hazardous,immediate,laborious,total
128,active,unavoidable,MEF fail,hazardous,immediate,efficient,partial
129,active,unavoidable,MEF fail,hazardous,immediate,efficient,total
130,active,unavoidable,MEF fail,hazardous,immediate,super effective,partial
131,active,unavoidable,MEF fail,hazardous,immediate,super effective,total
132,active,unavoidable,mission fail,hazardous,immediate,laborious,partial
133,active,unavoidable,mission fail,hazardous,immediate,laborious,total
134,active,unavoidable,mission fail,hazardous,immediate,efficient,partial
135,active,unavoidable,mission fail,hazardous,immediate,efficient,total
136,active,unavoidable,mission fail,hazardous,immediate,super effective,partial
137,active,unavoidable,mission fail,hazardous,immediate,super effective,total
138,active,small,none,hazardous,out-of-band,,
139,active,small,degraded,hazardous,out-of-band,,
140,active,small,MEF crippled,hazardous,out-of-band,,
141,active,small,MEF fail,hazardous,out-of-band,,
142,active,controlled,none,hazardous,out-of-band,,
143,active,controlled,degraded,hazardous,out-of-band,,
144,active,controlled,MEF crippled,hazardous,out-of-band,,
145,active,controlled,mission fail,major,immediate,efficient,partial
146,active,controlled,mission fail,major,immediate,efficient,total
147,active,controlled,mission fail,major,immediate,super effective,partial
148,active,controlled,mission fail,major,immediate,super effective,total
149,active,unavoidable,MEF fail,major,immediate,efficient,partial
150,active,unavoidable,MEF fail,major,immediate,efficient,total
151,active,unavoidable,MEF fail,major,immediate,super effective,partial
152,active,unavoidable,MEF fail,major,immediate,super effective,total
153,active,unavoidable,mission fail,major,immediate,efficient,partial
154,active,unavoidable,mission fail,major,immediate,efficient,total
155,active,unavoidable,mission fail,major,immediate,super effective,partial
156,active,unavoidable,mission fail,major,immediate,super effective,total
157,active,small,MEF fail,major,out-of-band,laborious,partial
158,active,small,MEF fail,major,out-of-band,laborious,total
159,active,small,mission fail,major,out-of-band,laborious,partial
160,active,small,mission fail,major,out-of-band,laborious,total
161,active,controlled,degraded,major,out-of-band,laborious,partial
162,active,controlled,degraded,major,out-of-band,laborious,total
163,active,controlled,MEF crippled,major,out-of-band,laborious,partial
164,active,controlled,MEF crippled,major,out-of-band,laborious,total
165,active,controlled,MEF fail,major,out-of-band,laborious,partial
166,active,controlled,MEF fail,major,out-of-band,laborious,total
167,active,unavoidable,none,major,out-of-band,laborious,partial
168,active,unavoidable,none,major,out-of-band,laborious,total
169,active,unavoidable,degraded,major,out-of-band,laborious,partial
170,active,unavoidable,degraded,major,out-of-band,laborious,total
171,active,unavoidable,MEF crippled,major,out-of-band,laborious,partial
172,active,unavoidable,MEF crippled,major,out-of-band,laborious,total
173,active,small,none,major,scheduled,,
174,active,small,degraded,major,scheduled,,
175,active,small,MEF crippled,major,scheduled,,
176,active,controlled,none,major,scheduled,,
177,active,small,none,minor,defer,,
178,active,controlled,mission fail,minor,immediate,super effective,partial
179,active,controlled,mission fail,minor,immediate,super effective,total
180,active,unavoidable,MEF fail,minor,immediate,super effective,partial
181,active,unavoidable,MEF fail,minor,immediate,super effective,total
182,active,unavoidable,mission fail,minor,immediate,super effective,partial
183,active,unavoidable,mission fail,minor,immediate,super effective,total
184,active,small,mission fail,minor,out-of-band,laborious,partial
185,active,small,mission fail,minor,out-of-band,laborious,total
186,active,small,mission fail,minor,out-of-band,efficient,partial
187,active,small,mission fail,minor,out-of-band,efficient,total
188,active,controlled,MEF fail,minor,out-of-band,laborious,partial
189,active,controlled,MEF fail,minor,out-of-band,laborious,total
190,active,controlled,MEF fail,minor,out-of-band,efficient,partial
191,active,controlled,MEF fail,minor,out-of-band,efficient,total
192,active,unavoidable,degraded,minor,out-of-band,laborious,partial
193,active,unavoidable,degraded,minor,out-of-band,laborious,total
194,active,unavoidable,degraded,minor,out-of-band,efficient,partial
195,active,unavoidable,degraded,minor,out-of-band,efficient,total
196,active,unavoidable,MEF crippled,minor,out-of-band,laborious,partial
197,active,unavoidable,MEF crippled,minor,out-of-band,laborious,total
198,active,unavoidable,MEF crippled,minor,out-of-band,efficient,partial
199,active,unavoidable,MEF crippled,minor,out-of-band,efficient,total
200,active,small,degraded,minor,scheduled,,
201,active,small,MEF crippled,minor,scheduled,,
202,active,small,MEF fail,minor,scheduled,,
203,active,controlled,none,minor,scheduled,,
204,active,controlled,degraded,minor,scheduled,,
