,Exploitation,Exposure,MissionImpact,SafetyImpact,Outcome,Utility,TechnicalImpact
0,1,1.0,1.0,1,1,1.0,1.0
1,1,1.0,1.0,1,1,1.0,2.0
2,1,1.0,1.0,1,1,2.0,1.0
3,1,1.0,2.0,1,1,1.0,1.0
4,1,1.0,2.0,1,1,1.0,2.0
5,1,1.0,2.0,1,1,2.0,1.0
6,1,1.0,3.0,1,1,1.0,1.0
7,1,1.0,3.0,1,1,1.0,2.0
8,1,1.0,3.0,1,1,2.0,1.0
9,1,2.0,1.0,1,1,1.0,1.0
10,1,2.0,1.0,1,1,1.0,2.0
11,1,2.0,1.0,1,1,2.0,1.0
12,1,2.0,2.0,1,1,1.0,1.0
13,1,2.0,2.0,1,1,1.0,2.0
14,1,2.0,2.0,1,1,2.0,1.0
15,1,2.0,3.0,1,1,1.0,1.0
16,1,2.0,3.0,1,1,1.0,2.0
17,1,2.0,3.0,1,1,2.0,1.0
18,1,3.0,1.0,1,1,1.0,1.0
19,1,3.0,1.0,1,1,1.0,2.0
20,1,3.0,1.0,1,1,2.0,1.0
21,1,3.0,2.0,1,1,1.0,1.0
22,1,3.0,2.0,1,1,1.0,2.0
23,1,3.0,2.0,1,1,2.0,1.0
24,1,1.0,4.0,1,2,2.0,2.0
25,1,1.0,4.0,1,2,3.0,1.0
26,1,1.0,4.0,1,2,3.0,2.0
27,1,1.0,5.0,1,2,2.0,2.0
28,1,1.0,5.0,1,2,3.0,1.0
29,1,1.0,5.0,1,2,3.0,2.0
30,1,2.0,4.0,1,2,2.0,2.0
31,1,2.0,4.0,1,2,3.0,1.0
32,1,2.0,4.0,1,2,3.0,2.0
33,1,3.0,3.0,1,2,2.0,2.0
34,1,3.0,3.0,1,2,3.0,1.0
35,1,3.0,3.0,1,2,3.0,2.0
36,1,3.0,4.0,1,2,2.0,2.0
37,1,3.0,4.0,1,2,3.0,1.0
38,1,3.0,4.0,1,2,3.0,2.0
39,1,2.0,5.0,1,3,,
40,1,3.0,5.0,1,3,,
41,1,1.0,1.0,2,1,1.0,1.0
42,1,1.0,1.0,2,1,1.0,2.0
43,1,1.0,2.0,2,1,1.0,1.0
44,1,1.0,2.0,2,1,1.0,2.0
45,1,2.0,1.0,2,1,1.0,1.0
46,1,2.0,1.0,2,1,1.0,2.0
47,1,2.0,2.0,2,1,1.0,1.0
48,1,2.0,2.0,2,1,1.0,2.0
49,1,1.0,3.0,2,2,2.0,1.0
50,1,1.0,3.0,2,2,2.0,2.0
51,1,1.0,3.0,2,2,3.0,1.0
52,1,1.0,3.0,2,2,3.0,2.0
53,1,1.0,4.0,2,2,2.0,1.0
54,1,1.0,4.0,2,2,2.0,2.0
55,1,1.0,4.0,2,2,3.0,1.0
56,1,1.0,4.0,2,2,3.0,2.0
57,1,1.0,5.0,2,2,2.0,1.0
58,1,1.0,5.0,2,2,2.0,2.0
59,1,1.0,5.0,2,2,3.0,1.0
60,1,1.0,5.0,2,2,3.0,2.0
61,1,2.0,3.0,2,2,2.0,1.0
62,1,2.0,3.0,2,2,2.0,2.0
63,1,2.0,3.0,2,2,3.0,1.0
64,1,2.0,3.0,2,2,3.0,2.0
65,1,2.0,4.0,2,2,2.0,1.0
66,1,2.0,4.0,2,2,2.0,2.0
67,1,2.0,4.0,2,2,3.0,1.0
68,1,2.0,4.0,2,2,3.0,2.0
69,1,3.0,1.0,2,2,2.0,1.0
70,1,3.0,1.0,2,2,2.0,2.0
71,1,3.0,1.0,2,2,3.0,1.0
72,1,3.0,1.0,2,2,3.0,2.0
73,1,3.0,2.0,2,2,2.0,1.0
74,1,3.0,2.0,2,2,2.0,2.0
75,1,3.0,2.0,2,2,3.0,1.0
76,1,3.0,2.0,2,2,3.0,2.0
77,1,3.0,3.0,2,2,2.0,1.0
78,1,3.0,3.0,2,2,2.0,2.0
79,1,3.0,3.0,2,2,3.0,1.0
80,1,3.0,3.0,2,2,3.0,2.0
